chutia,fucker ,5
chutiya,fucker,5
haraami,bastard,5
haraam,bastard,5
bahenchod,sister fucker,9
bahanchod,sister fucker,9
bahencho,sister fucker,9
bancho,sister fucker,7
bahenke,sister�s ,6
laude,dick,7
takke,balls,7
betichod,daughter fucker,9
bhaichod,brother fucker,8
jhalla,faggot,6
jhant,pubic,7
maadherchod,mother fucker,10
madarchod,motherfucker,10
padma,fat bitch,6
raand,whore,9
randwa,male prostitute,8
randi,hooker,8
bachachod,son fucker,8
bachichod,daughter fucker,8
bachchechod,children fucker,8
booblay,boobs,7
booby,boobs,7
buble,boobs,7
babla,boobs,7
bhonsriwala,fucker,8
bhonsdiwala,fucker,8
chut,pussy,8
chod,fuck,7
chodu,fucker,7
chodra,fucker,7
choochi,boobs,8
chuchi,boobs,8
gaandu,asshole,9
gandu,asshole,9
gaand,ass,9
lavda, dick ,8
lawda,dick,8
lauda,dick,8
lund�, dick,8
balchod,hair fucker,7
lavander,dick head,8
muth,masturbate ,7
maacho,mother fucker,10
mammey,boobs,8
tatte,boobs,8
toto,penis,8
toota,broken,7
bhandwe,pimp,7
bhosadchod,ass fucker,9
bhosad,pussy,8
bumchod,ass fucker,9
bum,ass,8
bur,pussy,9
cunt,pussy,8
cuntmama,pussy,8
jhaat,cunt,8
chodela,fucked up,6
bhagatchod,saint fucker,7
chhola,clit,7
chudai,fucking,7
chudaikhana,whore house,9
chunni,clit,8
choot,pussy,8
fateychu,torn pussy,9
gaandfat,ass,8
gaandmasti,ass,8
makhanchudai,fucking,8
gaandmarau,ass fuck,9
chaatu,licker,6
beej,semen,6
choosu,sucker,7
fakeerchod,saint fucker,8
lundoos,dick,8
shorba,semen,7
bhadwe,pimp,6
parichod,angel fucker,9
nirodh,condom.,5
pucchi,pussy,8
baajer,fucker,8
choud,fuck,8
bhosda,pussy,9
sadi,stinking,5
choos,suck,5
maka,mother�s,7
chinaal,prostitute,7
gadde,boobs,7
gandkate,ass,6
hazaarchu,thousand pussy,7
paidaishikeeda,born bug,5
kali,nigger,5
behendi,sister,5
chus,sucker,6
machudi,mother fucker,10
chodoonga,fuck,8
baapchu,father pussy,9
laltern,lantern,5
suhaagchudai,wedding fuck,8
raatchuda,night fuck,7
kaalu,migga,6
neech,low caste,7
chikna,gay,6
meetha,gay,6
beechka,gay,6
chooche,boobs,8
patichod,husband,8
rundi,prostitute,7
biwichod,wife fucker,9
chodhunga,fuck,8
jhanten,pubic hair,8
raandsaala,sister�s brother pimp,7
phudi,pussy,7
chute,pussy,7
kussi,ass,7
khandanchod,family fucker,9
ghussa,fuck,6
budh,cunt,7
chodun,fuck,5
chode,fuck,6
chodho,fuck,6
mullekatue,Derogatory abuse to muslims,6
mullikatui,Derogatory Abuse to female muslim,6
mullekebaal,Derogatory Abuse to muslim,6
momedankatue,Derogatory Abuse to muslim,6
katua,dick cut,8
chutiyapa,fuck all,8
bc,sister fucker,10
mc,mother fucker,10
chudwaya,fuck,7
jihadi,terrorist,4
atankvadi,terrorist,4
atankwadi,terrorist,4
aatanki,terorist,4
